song_title,album_release_date_iso,play_date_iso,years_since_release
Thunder Road,1975-01-01,2025-11-03,50.84
Atlantic City,1982-01-01,2025-10-22,43.81
Land of Hope and Dreams,2012-01-01,2025-10-22,13.81
Atlantic City,1982-01-01,2025-10-18,43.80
Land of Hope and Dreams,2012-01-01,2025-10-18,13.80
Land of Hope and Dreams,2012-01-01,2025-09-28,13.74
Thunder Road,1975-01-01,2025-09-06,50.68
Born to Run,1975-01-01,2025-09-06,50.68
Prove It All Night,1978-01-01,2025-07-03,47.50
Darkness on the Edge of Town,1978-01-01,2025-07-03,47.50
Land of Hope and Dreams,2012-01-01,2025-07-03,13.50
Death to My Hometown,2012-01-01,2025-07-03,13.50
Rainmaker,2020-10-23,2025-07-03,4.69
The Promised Land,1978-01-01,2025-07-03,47.50
Hungry Heart,1980-01-01,2025-07-03,45.50
My Hometown,1984-01-01,2025-07-03,41.50
The River,1980-01-01,2025-07-03,45.50
Youngstown,1995-01-01,2025-07-03,30.50
Long Walk Home,2007-01-01,2025-07-03,18.50
House of a Thousand Guitars,2020-10-23,2025-07-03,4.69
My City of Ruins,2002-01-01,2025-07-03,23.50
Because the Night,2010-01-01,2025-07-03,15.50
Wrecking Ball,2012-01-01,2025-07-03,13.50
The Rising,2002-01-01,2025-07-03,23.50
Badlands,1978-01-01,2025-07-03,47.50
Thunder Road,1975-01-01,2025-07-03,50.50
Born in the U.S.A.,1984-01-01,2025-07-03,41.50
Born to Run,1975-01-01,2025-07-03,50.50
Bobby Jean,1984-01-01,2025-07-03,41.50
Dancing in the Dark,1984-01-01,2025-07-03,41.50
Tenth Avenue Freeze‐Out,1975-01-01,2025-07-03,50.50
No Surrender,1984-01-01,2025-06-30,41.50
Land of Hope and Dreams,2012-01-01,2025-06-30,13.50
Death to My Hometown,2012-01-01,2025-06-30,13.50
Lonesome Day,2002-01-01,2025-06-30,23.49
Rainmaker,2020-10-23,2025-06-30,4.68
Atlantic City,1982-01-01,2025-06-30,43.49
The Promised Land,1978-01-01,2025-06-30,47.49
Hungry Heart,1980-01-01,2025-06-30,45.50
The River,1980-01-01,2025-06-30,45.50
Youngstown,1995-01-01,2025-06-30,30.49
Long Walk Home,2007-01-01,2025-06-30,18.49
House of a Thousand Guitars,2020-10-23,2025-06-30,4.68
My City of Ruins,2002-01-01,2025-06-30,23.49
I’m on Fire,1984-01-01,2025-06-30,41.50
Because the Night,2010-01-01,2025-06-30,15.49
Wrecking Ball,2012-01-01,2025-06-30,13.50
The Rising,2002-01-01,2025-06-30,23.49
Badlands,1978-01-01,2025-06-30,47.49
Thunder Road,1975-01-01,2025-06-30,50.50
Born in the U.S.A.,1984-01-01,2025-06-30,41.50
Born to Run,1975-01-01,2025-06-30,50.50
Bobby Jean,1984-01-01,2025-06-30,41.50
Dancing in the Dark,1984-01-01,2025-06-30,41.50
Tenth Avenue Freeze‐Out,1975-01-01,2025-06-30,50.50
No Surrender,1984-01-01,2025-06-27,41.49
Land of Hope and Dreams,2012-01-01,2025-06-27,13.49
Death to My Hometown,2012-01-01,2025-06-27,13.49
Lonesome Day,2002-01-01,2025-06-27,23.49
Rainmaker,2020-10-23,2025-06-27,4.68
Darkness on the Edge of Town,1978-01-01,2025-06-27,47.49
The Promised Land,1978-01-01,2025-06-27,47.49
Hungry Heart,1980-01-01,2025-06-27,45.49
The River,1980-01-01,2025-06-27,45.49
Youngstown,1995-01-01,2025-06-27,30.49
Long Walk Home,2007-01-01,2025-06-27,18.49
House of a Thousand Guitars,2020-10-23,2025-06-27,4.68
My City of Ruins,2002-01-01,2025-06-27,23.49
I’m on Fire,1984-01-01,2025-06-27,41.49
Because the Night,2010-01-01,2025-06-27,15.49
Wrecking Ball,2012-01-01,2025-06-27,13.49
The Rising,2002-01-01,2025-06-27,23.49
Badlands,1978-01-01,2025-06-27,47.49
Thunder Road,1975-01-01,2025-06-27,50.49
Born in the U.S.A.,1984-01-01,2025-06-27,41.49
Born to Run,1975-01-01,2025-06-27,50.49
Bobby Jean,1984-01-01,2025-06-27,41.49
Dancing in the Dark,1984-01-01,2025-06-27,41.49
Tenth Avenue Freeze‐Out,1975-01-01,2025-06-27,50.49
Lonesome Day,2002-01-01,2025-06-24,23.48
Prove It All Night,1978-01-01,2025-06-24,47.48
Land of Hope and Dreams,2012-01-01,2025-06-24,13.48
Death to My Hometown,2012-01-01,2025-06-24,13.48
No Surrender,1984-01-01,2025-06-24,41.48
Rainmaker,2020-10-23,2025-06-24,4.67
Atlantic City,1982-01-01,2025-06-24,43.48
The Promised Land,1978-01-01,2025-06-24,47.48
Hungry Heart,1980-01-01,2025-06-24,45.48
My Hometown,1984-01-01,2025-06-24,41.48
Youngstown,1995-01-01,2025-06-24,30.48
Long Walk Home,2007-01-01,2025-06-24,18.48
House of a Thousand Guitars,2020-10-23,2025-06-24,4.67
Growin’ Up,1973-01-01,2025-06-24,52.48
Darlington County,1984-01-01,2025-06-24,41.48
Working on the Highway,1984-01-01,2025-06-24,41.48
I’m on Fire,1984-01-01,2025-06-24,41.48
Because the Night,2010-01-01,2025-06-24,15.48
Wrecking Ball,2012-01-01,2025-06-24,13.48
The Rising,2002-01-01,2025-06-24,23.48
Badlands,1978-01-01,2025-06-24,47.48
Thunder Road,1975-01-01,2025-06-24,50.48
Born in the U.S.A.,1984-01-01,2025-06-24,41.48
Born to Run,1975-01-01,2025-06-24,50.48
Bobby Jean,1984-01-01,2025-06-24,41.48
Glory Days,1984-01-01,2025-06-24,41.48
Dancing in the Dark,1984-01-01,2025-06-24,41.48
Tenth Avenue Freeze‐Out,1975-01-01,2025-06-24,50.48
No Surrender,1984-01-01,2025-06-21,41.47
Land of Hope and Dreams,2012-01-01,2025-06-21,13.47
Death to My Hometown,2012-01-01,2025-06-21,13.47
