song_title,album_release_date_iso
"4th of July, Asbury Park (Sandy)",1973-01-01
Blinded by the Light,1973-01-01
Does This Bus Stop at 82nd Street?,1973-01-01
For You,1973-01-01
Growin’ Up,1973-01-01
Incident on 57th Street,1973-01-01
It’s Hard to Be a Saint in the City,1973-01-01
Kitty’s Back,1973-01-01
Lost in the Flood,1973-01-01
Mary Queen of Arkansas,1973-01-01
New York City Serenade,1973-01-01
Rosalita (Come Out Tonight),1973-01-01
Spirit in the Night,1973-01-01
The Angel,1973-01-01
The E Street Shuffle,1973-01-01
Wild Billy’s Circus Story,1973-01-01
Backstreets,1975-01-01
Born to Run,1975-01-01
Jungleland,1975-01-01
Meeting Across the River,1975-01-01
Night,1975-01-01
She’s the One,1975-01-01
Tenth Avenue Freeze‐Out,1975-01-01
Thunder Road,1975-01-01
Adam Raised a Cain,1978-01-01
Badlands,1978-01-01
Candy’s Room,1978-01-01
Darkness on the Edge of Town,1978-01-01
Factory,1978-01-01
Prove It All Night,1978-01-01
Racing in the Street,1978-01-01
Something in the Night,1978-01-01
Streets of Fire,1978-01-01
The Promised Land,1978-01-01
Cadillac Ranch,1980-01-01
Crush on You,1980-01-01
Drive All Night,1980-01-01
Fade Away,1980-01-01
Hungry Heart,1980-01-01
I Wanna Marry You,1980-01-01
Independence Day,1980-01-01
I’m a Rocker,1980-01-01
Jackson Cage,1980-01-01
Out in the Street,1980-01-01
Point Blank,1980-01-01
Ramrod,1980-01-01
Sherry Darling,1980-01-01
Stolen Car,1980-01-01
The Price You Pay,1980-01-01
The River,1980-01-01
The Ties That Bind,1980-01-01
Two Hearts,1980-01-01
Wreck on the Highway,1980-01-01
You Can Look (but You Better Not Touch),1980-01-01
Atlantic City,1982-01-01
Highway Patrolman,1982-01-01
Johnny 99,1982-01-01
Mansion on the Hill,1982-01-01
My Father’s House,1982-01-01
Nebraska,1982-01-01
Open All Night,1982-01-01
Reason to Believe,1982-01-01
State Trooper,1982-01-01
Used Cars,1982-01-01
Bobby Jean,1984-01-01
Born in the U.S.A.,1984-01-01
Cover Me,1984-01-01
Dancing in the Dark,1984-01-01
Darlington County,1984-01-01
Downbound Train,1984-01-01
Glory Days,1984-01-01
I’m Goin’ Down,1984-01-01
I’m on Fire,1984-01-01
My Hometown,1984-01-01
No Surrender,1984-01-01
Working on the Highway,1984-01-01
Ain’t Got You,1987-01-01
All That Heaven Will Allow,1987-01-01
Brilliant Disguise,1987-01-01
Cautious Man,1987-01-01
One Step Up,1987-01-01
Spare Parts,1987-01-01
Tougher Than the Rest,1987-01-01
Tunnel of Love,1987-01-01
Two Faces,1987-01-01
Valentine’s Day,1987-01-01
Walk Like a Man,1987-01-01
When You’re Alone,1987-01-01
57 Channels (and Nothin’ On),1992-01-01
All or Nothin’ at All,1992-01-01
Better Days,1992-01-01
Book of Dreams,1992-01-01
Cross My Heart,1992-01-01
Gloria’s Eyes,1992-01-01
Human Touch,1992-01-01
I Wish I Were Blind,1992-01-01
If I Should Fall Behind,1992-01-01
Leap of Faith,1992-01-01
Living Proof,1992-01-01
Local Hero,1992-01-01
Lucky Town,1992-01-01
Man’s Job,1992-01-01
My Beautiful Reward,1992-01-01
