song_title,album_title,album_release_date_raw,album_release_date_iso,disc_number,track_number,release_group_mbid,release_mbid,recording_mbid
Blinded by the Light,"Greetings From Asbury Park, N.J.",1973,1973-01-01,1,,c497fc44-ddaf-3cce-a9b4-bfec958a0f3c,bbfabca0-ef57-428f-860d-eece549c0a99,3497900e-6c78-47d8-a6ae-4526e7f3bfd6
Growin’ Up,"Greetings From Asbury Park, N.J.",1973,1973-01-01,1,,c497fc44-ddaf-3cce-a9b4-bfec958a0f3c,bbfabca0-ef57-428f-860d-eece549c0a99,109c22b2-0d97-419f-bee4-edb7d6f8dbff
Mary Queen of Arkansas,"Greetings From Asbury Park, N.J.",1973,1973-01-01,1,,c497fc44-ddaf-3cce-a9b4-bfec958a0f3c,bbfabca0-ef57-428f-860d-eece549c0a99,13bdde38-e8cc-41cf-a0bb-6c195bb8665f
Does This Bus Stop at 82nd Street?,"Greetings From Asbury Park, N.J.",1973,1973-01-01,1,,c497fc44-ddaf-3cce-a9b4-bfec958a0f3c,bbfabca0-ef57-428f-860d-eece549c0a99,5eaa1035-3685-43a1-9236-0fd60952780d
Lost in the Flood,"Greetings From Asbury Park, N.J.",1973,1973-01-01,1,,c497fc44-ddaf-3cce-a9b4-bfec958a0f3c,bbfabca0-ef57-428f-860d-eece549c0a99,666148da-9889-470c-a2cd-efc9fb0c7199
The Angel,"Greetings From Asbury Park, N.J.",1973,1973-01-01,1,,c497fc44-ddaf-3cce-a9b4-bfec958a0f3c,bbfabca0-ef57-428f-860d-eece549c0a99,f8102160-84a5-4ecd-b1ad-f3c7e5ad6877
For You,"Greetings From Asbury Park, N.J.",1973,1973-01-01,1,,c497fc44-ddaf-3cce-a9b4-bfec958a0f3c,bbfabca0-ef57-428f-860d-eece549c0a99,d7610153-af46-4f96-ae68-564000948a65
Spirit in the Night,"Greetings From Asbury Park, N.J.",1973,1973-01-01,1,,c497fc44-ddaf-3cce-a9b4-bfec958a0f3c,bbfabca0-ef57-428f-860d-eece549c0a99,127f5477-caeb-462b-9689-57da3c9e6972
It’s Hard to Be a Saint in the City,"Greetings From Asbury Park, N.J.",1973,1973-01-01,1,,c497fc44-ddaf-3cce-a9b4-bfec958a0f3c,bbfabca0-ef57-428f-860d-eece549c0a99,a704d8cd-b6d7-4918-b865-82f623f4a4ce
The E Street Shuffle,"The Wild, the Innocent & The E Street Shuffle",1973,1973-01-01,1,,4b443e66-52a7-3cc9-a522-0dc64a6a51dc,b6be0f25-73e5-4699-b6f7-f84953451471,21e16c80-5adf-401e-8822-3bca9015204f
"4th of July, Asbury Park (Sandy)","The Wild, the Innocent & The E Street Shuffle",1973,1973-01-01,1,,4b443e66-52a7-3cc9-a522-0dc64a6a51dc,b6be0f25-73e5-4699-b6f7-f84953451471,50fe5560-3b67-4f0c-bed9-d3b6d59c677a
Kitty’s Back,"The Wild, the Innocent & The E Street Shuffle",1973,1973-01-01,1,,4b443e66-52a7-3cc9-a522-0dc64a6a51dc,b6be0f25-73e5-4699-b6f7-f84953451471,8e316e75-41b5-49e7-9f39-70f1c5fb22ae
Wild Billy’s Circus Story,"The Wild, the Innocent & The E Street Shuffle",1973,1973-01-01,1,,4b443e66-52a7-3cc9-a522-0dc64a6a51dc,b6be0f25-73e5-4699-b6f7-f84953451471,9f423f3c-e741-428a-9389-aa977ed0fc08
Incident on 57th Street,"The Wild, the Innocent & The E Street Shuffle",1973,1973-01-01,1,,4b443e66-52a7-3cc9-a522-0dc64a6a51dc,b6be0f25-73e5-4699-b6f7-f84953451471,bcad875f-5933-4a8e-90dc-045cf406fb7e
Rosalita (Come Out Tonight),"The Wild, the Innocent & The E Street Shuffle",1973,1973-01-01,1,,4b443e66-52a7-3cc9-a522-0dc64a6a51dc,b6be0f25-73e5-4699-b6f7-f84953451471,91fe6d8f-a4c8-488b-862e-6d317e310e8e
New York City Serenade,"The Wild, the Innocent & The E Street Shuffle",1973,1973-01-01,1,,4b443e66-52a7-3cc9-a522-0dc64a6a51dc,b6be0f25-73e5-4699-b6f7-f84953451471,09a69c99-3185-439f-8c59-3f6d0ed270fa
Thunder Road,Born to Run,1975,1975-01-01,1,,39b22944-7503-3937-8bba-09b17281cc6a,1929d226-f145-414d-8f1c-0c85f3adad62,bbcedc0f-2fff-42f4-9ca6-6d2263d1a042
Tenth Avenue Freeze‐Out,Born to Run,1975,1975-01-01,1,,39b22944-7503-3937-8bba-09b17281cc6a,1929d226-f145-414d-8f1c-0c85f3adad62,34a6e904-0d0b-4393-9ff0-07ef217c7d3d
Backstreets,Born to Run,1975,1975-01-01,1,,39b22944-7503-3937-8bba-09b17281cc6a,1929d226-f145-414d-8f1c-0c85f3adad62,c9fae3aa-03ce-4455-95e2-22fce0caa0c5
She’s the One,Born to Run,1975,1975-01-01,1,,39b22944-7503-3937-8bba-09b17281cc6a,1929d226-f145-414d-8f1c-0c85f3adad62,b4e0497b-e8a6-4af6-8f23-314639309d48
Born to Run,Born to Run,1975,1975-01-01,1,,39b22944-7503-3937-8bba-09b17281cc6a,1929d226-f145-414d-8f1c-0c85f3adad62,7ada2178-c1db-4a24-9760-810681e95308
Night,Born to Run,1975,1975-01-01,1,,39b22944-7503-3937-8bba-09b17281cc6a,1929d226-f145-414d-8f1c-0c85f3adad62,5d2e78bc-c616-484f-b1e4-8e010aa3641e
Meeting Across the River,Born to Run,1975,1975-01-01,1,,39b22944-7503-3937-8bba-09b17281cc6a,1929d226-f145-414d-8f1c-0c85f3adad62,4fc4a847-8270-433e-b410-394cdf398fa3
Jungleland,Born to Run,1975,1975-01-01,1,,39b22944-7503-3937-8bba-09b17281cc6a,1929d226-f145-414d-8f1c-0c85f3adad62,d7f8e734-6ede-46f5-90cd-983d052ca691
Badlands,Darkness on the Edge of Town,1978,1978-01-01,1,,b613123b-a234-3f48-9c45-e05bf4e6b9e7,e548fdf0-29fa-4469-920c-0c302b37cb85,6719f5e8-9b80-4956-8e11-ee1614a6693a
