pct_played_prior,catalog_size_at_play_date,interaction_pct_x_catalog,pct_played_recent_180,played,play_date_iso,song_title
0.00,16,0.0000,0.00,0,1973-01-07,"4th of July, Asbury Park (Sandy)"
0.00,16,0.0000,0.00,0,1973-01-09,"4th of July, Asbury Park (Sandy)"
0.00,16,0.0000,0.00,0,1973-01-10,"4th of July, Asbury Park (Sandy)"
0.00,16,0.0000,0.00,0,1973-01-31,"4th of July, Asbury Park (Sandy)"
0.00,16,0.0000,0.00,0,1973-02-01,"4th of July, Asbury Park (Sandy)"
0.00,16,0.0000,0.00,0,1973-02-02,"4th of July, Asbury Park (Sandy)"
0.00,16,0.0000,0.00,0,1973-02-03,"4th of July, Asbury Park (Sandy)"
0.00,16,0.0000,0.00,0,1973-02-04,"4th of July, Asbury Park (Sandy)"
0.00,16,0.0000,0.00,0,1973-02-05,"4th of July, Asbury Park (Sandy)"
0.00,16,0.0000,0.00,0,1973-02-11,"4th of July, Asbury Park (Sandy)"
0.00,16,0.0000,0.00,0,1973-02-14,"4th of July, Asbury Park (Sandy)"
0.00,16,0.0000,0.00,0,1973-02-26,"4th of July, Asbury Park (Sandy)"
0.00,16,0.0000,0.00,0,1973-02-28,"4th of July, Asbury Park (Sandy)"
0.00,16,0.0000,0.00,0,1973-03-01,"4th of July, Asbury Park (Sandy)"
0.00,16,0.0000,0.00,0,1973-03-02,"4th of July, Asbury Park (Sandy)"
0.00,16,0.0000,0.00,0,1973-03-03,"4th of July, Asbury Park (Sandy)"
0.00,16,0.0000,0.00,0,1973-03-18,"4th of July, Asbury Park (Sandy)"
0.00,16,0.0000,0.00,0,1973-03-23,"4th of July, Asbury Park (Sandy)"
0.00,16,0.0000,0.00,0,1973-03-24,"4th of July, Asbury Park (Sandy)"
0.00,16,0.0000,0.00,0,1973-04-18,"4th of July, Asbury Park (Sandy)"
0.00,16,0.0000,0.00,1,1973-04-23,"4th of July, Asbury Park (Sandy)"
4.76,16,76.1600,4.76,0,1973-04-24,"4th of July, Asbury Park (Sandy)"
4.55,16,72.8000,4.55,0,1973-04-28,"4th of July, Asbury Park (Sandy)"
4.35,16,69.6000,4.35,0,1973-05-01,"4th of July, Asbury Park (Sandy)"
4.17,16,66.7200,4.17,0,1973-05-05,"4th of July, Asbury Park (Sandy)"
4.00,16,64.0000,4.00,0,1973-05-12,"4th of July, Asbury Park (Sandy)"
3.85,16,61.6000,3.85,1,1973-05-31,"4th of July, Asbury Park (Sandy)"
7.41,16,118.5600,7.41,0,1973-06-02,"4th of July, Asbury Park (Sandy)"
7.14,16,114.2400,7.14,0,1973-06-06,"4th of July, Asbury Park (Sandy)"
6.90,16,110.4000,6.90,0,1973-06-08,"4th of July, Asbury Park (Sandy)"
6.67,16,106.7200,6.67,0,1973-06-09,"4th of July, Asbury Park (Sandy)"
6.45,16,103.2000,6.45,0,1973-06-13,"4th of July, Asbury Park (Sandy)"
6.25,16,100.0000,6.25,0,1973-06-14,"4th of July, Asbury Park (Sandy)"
6.06,16,96.9600,6.06,0,1973-06-22,"4th of July, Asbury Park (Sandy)"
5.88,16,94.0800,6.45,0,1973-07-18,"4th of July, Asbury Park (Sandy)"
5.71,16,91.3600,6.25,0,1973-07-19,"4th of July, Asbury Park (Sandy)"
5.56,16,88.9600,6.06,0,1973-07-22,"4th of July, Asbury Park (Sandy)"
5.41,16,86.5600,5.88,1,1973-07-23,"4th of July, Asbury Park (Sandy)"
7.89,16,126.2400,8.57,1,1973-07-27,"4th of July, Asbury Park (Sandy)"
10.26,16,164.1600,11.76,1,1973-07-31,"4th of July, Asbury Park (Sandy)"
12.50,16,200.0000,20.83,0,1973-09-08,"4th of July, Asbury Park (Sandy)"
12.20,16,195.2000,22.73,0,1973-09-28,"4th of July, Asbury Park (Sandy)"
11.90,16,190.4000,21.74,0,1973-09-29,"4th of July, Asbury Park (Sandy)"
11.63,16,186.0800,20.83,0,1973-10-06,"4th of July, Asbury Park (Sandy)"
11.36,16,181.7600,17.39,1,1973-10-20,"4th of July, Asbury Park (Sandy)"
13.33,16,213.2800,22.73,0,1973-10-26,"4th of July, Asbury Park (Sandy)"
13.04,16,208.6400,22.73,1,1973-10-30,"4th of July, Asbury Park (Sandy)"
14.89,16,238.2400,26.09,1,1973-10-31,"4th of July, Asbury Park (Sandy)"
16.67,16,266.7200,31.82,1,1973-11-11,"4th of July, Asbury Park (Sandy)"
18.37,16,293.9200,34.78,0,1973-11-17,"4th of July, Asbury Park (Sandy)"
18.00,16,288.0000,33.33,0,1973-11-25,"4th of July, Asbury Park (Sandy)"
17.65,16,282.4000,35.00,0,1973-12-06,"4th of July, Asbury Park (Sandy)"
17.31,16,276.9600,36.84,1,1973-12-15,"4th of July, Asbury Park (Sandy)"
18.87,16,301.9200,42.11,0,1973-12-20,"4th of July, Asbury Park (Sandy)"
18.52,16,296.3200,40.00,0,1974-01-05,"4th of July, Asbury Park (Sandy)"
18.18,16,290.8800,38.10,0,1974-01-06,"4th of July, Asbury Park (Sandy)"
17.86,16,285.7600,36.36,0,1974-01-12,"4th of July, Asbury Park (Sandy)"
