years_since_release,pct_played_prior,catalog_size_at_play_date,played,play_date_iso,song_title
30.36,69.27,151,0,2005-05-10,Thunder Road
27.19,2.68,124,0,2000-03-10,Wild Billy’s Circus Story
4.96,97.77,76,1,1984-12-17,Cadillac Ranch
4.32,42.35,88,0,1988-04-27,Downbound Train
0.94,61.11,124,1,1995-12-12,Across the Border
34.72,4.10,222,0,2012-09-19,Streets of Fire
26.41,6.24,176,0,2008-05-31,Highway Patrolman
4.49,98.17,88,1,1988-06-28,Glory Days
7.05,68.00,76,1,1985-01-19,Racing in the Street
2.95,95.54,54,1,1980-12-12,The Promised Land
27.84,81.04,139,1,2002-11-03,Born to Run
12.90,21.23,176,0,2007-11-26,Sinaloa Cowboys
32.26,49.55,233,1,2016-04-03,Dancing in the Dark
8.52,69.42,112,1,1992-07-10,Bobby Jean
0.75,69.05,24,1,1975-10-02,Tenth Avenue Freeze‐Out
32.76,73.06,176,1,2007-10-05,Born to Run
1.70,97.16,54,1,1981-09-14,Out in the Street
0.73,100.00,76,1,1984-09-25,Dancing in the Dark
23.18,17.55,139,0,2003-03-06,Point Blank
2.92,47.45,24,1,1975-12-05,"4th of July, Asbury Park (Sandy)"
0.61,97.78,34,1,1978-08-11,Badlands
6.58,9.40,88,0,1988-07-30,Mansion on the Hill
5.64,41.64,76,0,1985-08-21,You Can Look (but You Better Not Touch)
0.85,70.97,76,1,1984-11-08,Darlington County
26.23,18.30,176,1,2008-03-24,Reason to Believe
16.44,20.46,139,0,2003-06-10,Spare Parts
2.77,87.42,139,1,2004-10-08,Mary’s Place
26.82,4.71,164,0,2006-10-28,Jackson Cage
12.53,65.17,112,1,1992-07-13,The River
13.88,19.04,151,0,2005-11-17,My Beautiful Reward
6.21,5.65,88,0,1988-03-17,State Trooper
21.18,22.94,176,0,2008-03-06,Brilliant Disguise
2.56,18.75,76,0,1984-07-23,Mansion on the Hill
4.13,43.42,24,0,1977-02-17,It’s Hard to Be a Saint in the City
14.35,0.30,164,0,2006-05-07,Cross My Heart
28.56,52.65,222,0,2012-07-22,Born in the U.S.A.
33.41,74.09,176,1,2008-05-28,Born to Run
1.28,92.31,176,1,2008-04-14,Livin’ in the Future
0.60,92.86,112,1,1992-08-07,Roll of the Dice
3.07,96.47,54,1,1981-01-28,Badlands
33.54,28.40,222,0,2013-07-16,Cadillac Ranch
13.47,26.57,88,1,1988-06-22,She’s the One
28.93,21.04,222,0,2012-12-04,My Hometown
1.22,2.50,112,0,1993-03-23,Pony Boy
12.02,55.37,76,0,1985-01-07,Spirit in the Night
0.72,86.11,34,1,1978-09-21,Darkness on the Edge of Town
15.08,37.42,124,1,1997-01-30,Johnny 99
8.33,0.20,54,0,1981-05-02,The Angel
8.22,5.45,222,0,2013-03-24,All I’m Thinkin’ About
19.15,13.53,233,0,2014-02-26,Sinaloa Cowboys
39.08,60.29,233,0,2014-01-28,Thunder Road
